created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Jun 25 13:25:59 +0000 2014;481790409744453634;"Min ada problem pas pengisian siakad nih. Kok pas masukin jumlah nilai ijasah gabisa dalam ratusan ya? @Duta_UNJ";0;0;0;0;in;137633721;481790409744453634;afnirmy;https://twitter.com/afnirmy/status/481790409744453634
Wed Jun 25 13:16:32 +0000 2014;481788031393755136;"@Duta_UNJ ka mau tanya dong yg bio di siakad itu saya ga ngerti status kuliah, semester, kode semester, status kemahasiswaan";0;0;0;0;in;238896858;478688226131972096;galihgts;https://twitter.com/galihgts/status/481788031393755136
Wed Jun 25 13:05:48 +0000 2014;481785331625123841;"Berikut jadwal akses siakad hari kamis 26 juni 14 Jam 00.01-12.00= mahasiswa angkatan 2012 Jam 12.00-24.00= mahasiswa angkatan 2011";0;0;0;0;in;532760825;481785331625123841;speducation_UNJ;https://twitter.com/speducation_UNJ/status/481785331625123841
Wed Jun 25 13:05:48 +0000 2014;481785329574100992;"Selamat malam! Gimana 2010 dan 2013 sudah akses siakad hari ini? Gimana nih hasilnya? :)";0;0;0;0;in;532760825;481785329574100992;speducation_UNJ;https://twitter.com/speducation_UNJ/status/481785329574100992
Wed Jun 25 12:04:17 +0000 2014;481769846963572736;"@bemfmipaunj kak kalo belom bayar POM belom bisa isi siakad unj ya ?";0;1;0;0;in;382119019;481769846963572736;k_esteh;https://twitter.com/k_esteh/status/481769846963572736
Wed Jun 25 11:53:50 +0000 2014;481767220821762051;"Welcome to UNJ... RT @sriyuni158: Malam ini gak usah ngomongin siakad dulu.. bikin kesel !";0;1;0;0;in;171050469;481767220821762051;alkahfillah;https://twitter.com/alkahfillah/status/481767220821762051
Wed Jun 25 09:16:18 +0000 2014;481727573953486848;"maaf min mau tanya nih untuk pengisian siakad itu yg status kemahasiswaan ngisinya apa dan total nilai itu nilai apa. trims @BEMFIS_UNJ";0;1;0;0;in;789445543;481610883278200832;desiindahwati;https://twitter.com/desiindahwati/status/481727573953486848
Wed Jun 25 07:41:48 +0000 2014;481703793952698368;"@siakadunj berarti skrg udah bisa login web siakad nya min ?";0;0;0;0;in;541558803;480894426814771202;Reza_rafiansa;https://twitter.com/Reza_rafiansa/status/481703793952698368
Wed Jun 25 07:38:48 +0000 2014;481703037350600704;"@bemunj_official @mpa_fis2014 web siakad unj sudah bisa diaksess min ???";0;1;0;0;in;541558803;481568327534268416;Reza_rafiansa;https://twitter.com/Reza_rafiansa/status/481703037350600704
Wed Jun 25 05:43:53 +0000 2014;481674117343506433;"Belom ngisi biodata di siakad unj -,- pfft";0;0;0;0;in;1730602951;481674117343506433;citrusblueocean;https://twitter.com/citrusblueocean/status/481674117343506433
Wed Jun 25 03:59:25 +0000 2014;481647827873853441;"Utk teman2 yg ingin bertanya tentang siakad, perkuliahan, MPA, info mahasiswa baru UNJ dsb.. Silakan bisa berkunjung ke sana.";0;0;1;0;in;569159470;481647827873853441;bemjikk_unj;https://twitter.com/bemjikk_unj/status/481647827873853441
Wed Jun 25 02:51:58 +0000 2014;481630853412294656;"-c-ingin bertanya tentang siakad, perkuliahan, MPA, info mahasiswa baru UNJ dsb.. Silakan bisa berkunjung ke sana.";0;0;0;0;in;498611026;481630853412294656;BEMfisikaUNJ;https://twitter.com/BEMfisikaUNJ/status/481630853412294656
Wed Jun 25 02:40:56 +0000 2014;481628076606902273;"Berarti blnn agustus msh boleh ya min? RT @SiakadUNJ Pengisian biodaga mahasiswa Batu 2014 dapat dilakukan dimana Web http://t.co/9tqtc8Tt35";0;0;0;0;in;422437537;481339166479761409;ekapujiastti;https://twitter.com/ekapujiastti/status/481628076606902273
Wed Jun 25 02:37:05 +0000 2014;481627109375225856;"Siakad UNJ emang udah kejadwal. @falah_akbar @dikiiskandar_ @Fikarafika_fika @septiayudwirani @septifarah http://t.co/NvJeAkY1M1";0;1;0;0;in;103276620;481627109375225856;iamluckyrow;https://twitter.com/iamluckyrow/status/481627109375225856
Wed Jun 25 00:18:43 +0000 2014;481592287806246912;"Utk teman2 yg ingin bertanya tentang siakad, perkuliahan, MPA, info mahasiswa baru UNJ dsb.. (bersambung)";0;0;2;0;in;2531528070;481592287806246912;ABEL4FE;https://twitter.com/ABEL4FE/status/481592287806246912
Wed Jun 25 00:14:23 +0000 2014;481591195966377984;"Hari ini ada tenda "pusat pengaduan advokasi BEMUNJ" di samping BAAK kampus A UNJ. Utk teman2 yg ingin bertanya tentang siakad, perkuliahan,";0;0;0;0;in;145117721;481591195966377984;afrizaru;https://twitter.com/afrizaru/status/481591195966377984
Tue Jun 24 23:51:12 +0000 2014;481585361504595968;"Untuk teman2 maba yg ingin bertanya tentang siakad, perkuliahan, MPA, info mahasiswa baru UNJ,  dsb...";0;0;1;0;in;259759490;481585361504595968;HimaMPUNJ;https://twitter.com/HimaMPUNJ/status/481585361504595968
Tue Jun 24 23:45:04 +0000 2014;481583818025885697;"Utk teman2 yg ingin bertanya tentang siakad, perkuliahan, MPA, info mahasiswa baru UNJ dsb..";0;0;1;0;in;531409087;481583818025885697;hmptpunj;https://twitter.com/hmptpunj/status/481583818025885697
Tue Jun 24 20:37:42 +0000 2014;481536667551932417;"Nih siakad unj ngajak ribut banget !!!";0;0;0;0;in;866097493;481536667551932417;FadliRizky98;https://twitter.com/FadliRizky98/status/481536667551932417
Tue Jun 24 18:11:41 +0000 2014;481499918495121408;"Siakadnya lg mantengin WC ndre, makanya ga bisa "@Andrefajars: Siakad UNJ nunggu UNDIP selesai UAS baru bisa dibuka. @Ddwi_OL SandiNPr"";0;0;0;0;in;1108770902;481499918495121408;SandiNPr;https://twitter.com/SandiNPr/status/481499918495121408
