created_at,full_text,username,tweet_tokens,tweet_tokens_WSW,tweet_tokens_stemmed
2023-08-28,gais siakad kalian error juga gasih unj,UNJmenfess,"['gais', 'siakad', 'kalian', 'error', 'juga', 'gasih', 'unj']","['gais', 'siakad', 'error', 'gasih', 'unj']","['gais', 'siakad', 'error', 'gasih', 'unj']"
2023-08-26,from maba to semua penghuni unj permisii kakak kakak aku mau tanya kalo gak bisa login siakad harus konsultasi ke siapa yaa temenku login pake nim bisa tapi aku gabisa padahal nimnya udah bener,unjsecret,"['from', 'maba', 'to', 'semua', 'penghuni', 'unj', 'permisii', 'kakak', 'kakak', 'aku', 'mau', 'tanya', 'kalo', 'gak', 'bisa', 'login', 'siakad', 'harus', 'konsultasi', 'ke', 'siapa', 'yaa', 'temenku', 'login', 'pake', 'nim', 'bisa', 'tapi', 'aku', 'gabisa', 'padahal', 'nimnya', 'udah', 'bener']","['from', 'maba', 'to', 'penghuni', 'unj', 'permisii', 'kakak', 'kakak', 'login', 'siakad', 'konsultasi', 'yaa', 'temenku', 'login', 'pake', 'nim', 'gabisa', 'nimnya', 'udah', 'bener']","['from', 'maba', 'to', 'huni', 'unj', 'misi', 'kakak', 'kakak', 'login', 'siakad', 'konsultasi', 'yaa', 'temenku', 'login', 'pake', 'nim', 'gabisa', 'nimnya', 'udah', 'bener']"
2023-08-25,aku biasanya tanya sama anak bem adsoma nder biasanya mrk pling tau kalau taun lalu nim ku ga terdaftar di siakad pdhl pas bayar udh langsung ada krn fktor telat bayar jadinya aku chat admisi unj ditelegram,yayaterusaja,"['aku', 'biasanya', 'tanya', 'sama', 'anak', 'bem', 'adsoma', 'nder', 'biasanya', 'mrk', 'pling', 'tau', 'kalau', 'taun', 'lalu', 'nim', 'ku', 'ga', 'terdaftar', 'di', 'siakad', 'pdhl', 'pas', 'bayar', 'udh', 'langsung', 'ada', 'krn', 'fktor', 'telat', 'bayar', 'jadinya', 'aku', 'chat', 'admisi', 'unj', 'ditelegram']","['anak', 'bem', 'adsoma', 'nder', 'mrk', 'pling', 'taun', 'nim', 'ku', 'terdaftar', 'siakad', 'pdhl', 'pas', 'bayar', 'udh', 'langsung', 'fktor', 'telat', 'bayar', 'chat', 'admisi', 'unj', 'ditelegram']","['anak', 'bem', 'adsoma', 'nder', 'mrk', 'pling', 'taun', 'nim', 'ku', 'daftar', 'siakad', 'pdhl', 'pas', 'bayar', 'udh', 'langsung', 'fktor', 'telat', 'bayar', 'chat', 'admisi', 'unj', 'telegram']"
2023-08-25,unj yg ngajuin ukt krn skripsi udah bisa bayar belum ya aku nyoba bayar tapi kok tagihan nya dobel trus di siakad juga belum kepotong masih full gimana ya,UNJmenfess,"['unj', 'yg', 'ngajuin', 'ukt', 'krn', 'skripsi', 'udah', 'bisa', 'bayar', 'belum', 'ya', 'aku', 'nyoba', 'bayar', 'tapi', 'kok', 'tagihan', 'nya', 'dobel', 'trus', 'di', 'siakad', 'juga', 'belum', 'kepotong', 'masih', 'full', 'gimana', 'ya']","['unj', 'ngajuin', 'ukt', 'skripsi', 'udah', 'bayar', 'nyoba', 'bayar', 'tagihan', 'dobel', 'trus', 'siakad', 'kepotong', 'full', 'gimana']","['unj', 'ngajuin', 'ukt', 'skripsi', 'udah', 'bayar', 'nyoba', 'bayar', 'tagih', 'dobel', 'trus', 'siakad', 'potong', 'full', 'gimana']"
2023-08-25,halo gais balik lagi dengan gue orang yang bahkan belom bisa login siakad unj,kesandungbiji,"['halo', 'gais', 'balik', 'lagi', 'dengan', 'gue', 'orang', 'yang', 'bahkan', 'belom', 'bisa', 'login', 'siakad', 'unj']","['halo', 'gais', 'gue', 'orang', 'belom', 'login', 'siakad', 'unj']","['halo', 'gais', 'gue', 'orang', 'bom', 'login', 'siakad', 'unj']"
2023-08-25,gais ini kalo mau ubah password di siakad unj sehari bisanya cuma sekali aja kah,UNJmenfess,"['gais', 'ini', 'kalo', 'mau', 'ubah', 'password', 'di', 'siakad', 'unj', 'sehari', 'bisanya', 'cuma', 'sekali', 'aja', 'kah']","['gais', 'ubah', 'password', 'siakad', 'unj', 'sehari', 'bisanya', 'kah']","['gais', 'ubah', 'password', 'siakad', 'unj', 'hari', 'bisa', 'kah']"
2023-08-24,siakad unj kaga pernah di doain nichh down muluu,pookkiiu,"['siakad', 'unj', 'kaga', 'pernah', 'di', 'doain', 'nichh', 'down', 'muluu']","['siakad', 'unj', 'kaga', 'doain', 'nichh', 'down', 'muluu']","['siakad', 'unj', 'kaga', 'doain', 'nichh', 'down', 'muluu']"
2023-08-24,buset dah ni web siakad unj udh kek web promotor kalo lg war konser jir alias lag banget tai,adliara,"['buset', 'dah', 'ni', 'web', 'siakad', 'unj', 'udh', 'kek', 'web', 'promotor', 'kalo', 'lg', 'war', 'konser', 'jir', 'alias', 'lag', 'banget', 'tai']","['buset', 'dah', 'ni', 'web', 'siakad', 'unj', 'udh', 'kek', 'web', 'promotor', 'lg', 'war', 'konser', 'jir', 'alias', 'lag', 'banget', 'tai']","['buset', 'dah', 'ni', 'web', 'siakad', 'unj', 'udh', 'kek', 'web', 'promotor', 'lg', 'war', 'konser', 'jir', 'alias', 'lag', 'banget', 'tai']"
2023-08-24,wta klo mau ambil matkul yg blm di ambil pas smt sblmnya ambilnya yg kelas all di siakad bkn unj,UNJmenfess,"['wta', 'klo', 'mau', 'ambil', 'matkul', 'yg', 'blm', 'di', 'ambil', 'pas', 'smt', 'sblmnya', 'ambilnya', 'yg', 'kelas', 'all', 'di', 'siakad', 'bkn', 'unj']","['wta', 'ambil', 'matkul', 'blm', 'ambil', 'pas', 'smt', 'sblmnya', 'ambilnya', 'kelas', 'all', 'siakad', 'bkn', 'unj']","['wta', 'ambil', 'matkul', 'blm', 'ambil', 'pas', 'smt', 'sblmnya', 'ambil', 'kelas', 'all', 'siakad', 'bkn', 'unj']"
2023-08-24,unj ini siakad masih error ya mau ngisi krs tapi di kolom jam sama hari nggak keliatan jam sama harinya jadi takut salah ngisi krs takut malah ngisi krs pake jadwal kelas sebelah,UNJmenfess,"['unj', 'ini', 'siakad', 'masih', 'error', 'ya', 'mau', 'ngisi', 'krs', 'tapi', 'di', 'kolom', 'jam', 'sama', 'hari', 'nggak', 'keliatan', 'jam', 'sama', 'harinya', 'jadi', 'takut', 'salah', 'ngisi', 'krs', 'takut', 'malah', 'ngisi', 'krs', 'pake', 'jadwal', 'kelas', 'sebelah']","['unj', 'siakad', 'error', 'ngisi', 'krs', 'kolom', 'jam', 'nggak', 'keliatan', 'jam', 'harinya', 'takut', 'salah', 'ngisi', 'krs', 'takut', 'ngisi', 'krs', 'pake', 'jadwal', 'kelas', 'sebelah']","['unj', 'siakad', 'error', 'ngisi', 'krs', 'kolom', 'jam', 'nggak', 'liat', 'jam', 'hari', 'takut', 'salah', 'ngisi', 'krs', 'takut', 'ngisi', 'krs', 'pake', 'jadwal', 'kelas', 'belah']"
