created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Jan 15 03:38:52 +0000 2014;423298209029423104;"Buat halimuners yg mau buka siakad dg akses yg lbh cepat, Bisa lewat komputer TU atau wifi UNJ, dengan alamat 192.168.4.135 :)";0;0;9;3;in;424174139;423298209029423104;Bemfppsiunj;https://twitter.com/Bemfppsiunj/status/423298209029423104
Wed Jan 15 02:37:50 +0000 2014;423282852159950849;"HAHA RT @diki_ilmahaq kampret siakad UNY aja cepet banget, masa UNJ macet ,mentang2 di jakarta";0;0;0;0;in;260173839;423282129867268097;RNtans;https://twitter.com/RNtans/status/423282852159950849
Wed Jan 15 02:36:24 +0000 2014;423282490061496320;"Belum bayaran kali lu"@diki_ilmahaq: kampret siakad UNY aja cepet banget, masa UNJ macet ,mentang2 di jakarta"";0;1;0;0;in;215240005;423282490061496320;masbayyyu;https://twitter.com/masbayyyu/status/423282490061496320
Wed Jan 15 02:34:58 +0000 2014;423282129867268097;"kampret siakad UNY aja cepet banget, masa UNJ macet ,mentang2 di jakarta";0;1;0;0;in;236334817;423282129867268097;diki_ilmahaq;https://twitter.com/diki_ilmahaq/status/423282129867268097
Wed Jan 15 02:01:25 +0000 2014;423273686339039232;"Haha iya amiin :) tiati kalo masuk unj tar dibunuh loh ama siakad *loh "@nuruuulfadillah: Aminnn semoga jadi guru wkwkwk "@nisahh_12: 5 bu";0;0;1;0;in;225478653;423273686339039232;nisahh_12;https://twitter.com/nisahh_12/status/423273686339039232
Wed Jan 15 01:52:04 +0000 2014;423271333355483136;"@nadyaevalina @asma_SN12 oh gituu :( taampun siakad unj :"(";0;1;0;0;in;225282483;423270026934628352;ShaviraAmalia;https://twitter.com/ShaviraAmalia/status/423271333355483136
Wed Jan 15 01:21:56 +0000 2014;423263749915426816;"saya kira siakad UNJ sudah makin canggih. ternyata dari awal saya masuk kuliah sampai setahun saya lulus masih saja susah akses.";0;0;0;0;in;218117642;423263749915426816;dhezun;https://twitter.com/dhezun/status/423263749915426816
Wed Jan 15 00:58:01 +0000 2014;423257733010182144;"sampe kapan siakad do unj dot ac do ai di nya network eror haaaah?!?!?!?! :'(";0;0;0;0;in;85999322;423257733010182144;dendykembarrr;https://twitter.com/dendykembarrr/status/423257733010182144
Wed Jan 15 00:57:29 +0000 2014;423257597429284864;"Iyaa ka, padahala sudah bukanya ikuti jadwal , tapi ya begini keadaannya :( RT @313kamil: @anitaputria siakad unj melatih kesabaran..";0;1;0;0;in;240898968;423257597429284864;anitaputria;https://twitter.com/anitaputria/status/423257597429284864
Tue Jan 14 23:53:39 +0000 2014;423241531433029633;"Cie, korban siakad, sama dong kya gw, hahaha @saleemeka: udah biasa di php in sm diakad UNJ mah :D u d a h b i a s a a a a a a";0;0;0;0;in;483673311;423241531433029633;dwitaaprilya;https://twitter.com/dwitaaprilya/status/423241531433029633
Tue Jan 14 23:22:00 +0000 2014;423233566160343040;""Bisa ma ? @asma_SN12: :' RT @nisahh_12: asma_SN12 pftt tiap semester dibikin galau mulu heran #siakadunj"";0;1;0;0;in;225478653;423233566160343040;nisahh_12;https://twitter.com/nisahh_12/status/423233566160343040
Tue Jan 14 23:17:33 +0000 2014;423232448416075776;"Jangan sampe gue beralih cita cita jadi rektor unj nih biar bisa benerin pustikom dan seisi isinya terutama si siakad";0;0;0;0;in;237541917;423232448416075776;saptisapti;https://twitter.com/saptisapti/status/423232448416075776
Tue Jan 14 23:16:47 +0000 2014;423232256262422528;"Seketemunya gue abis dr bni k apres "@novaaaaw: @saptisapti siakad unj gak bisa dibanggakan:( lu brkt jamber? Pd janjian jamber sih anak2 ep";0;0;0;0;in;237541917;423232256262422528;saptisapti;https://twitter.com/saptisapti/status/423232256262422528
Tue Jan 14 23:05:44 +0000 2014;423229474528694272;"« Sedang berusaha membuka siakad unj yang terlalu menyebalkan";0;0;0;0;in;317556204;423229474528694272;putrii_elma;https://twitter.com/putrii_elma/status/423229474528694272
Tue Jan 14 22:41:18 +0000 2014;423223325855195136;":' RT @nisahh_12: asma_SN12 pftt tiap semester dibikin galau mulu heran #siakadunj";0;0;0;0;in;283360146;423223325855195136;asma_SN12;https://twitter.com/asma_SN12/status/423223325855195136
Tue Jan 14 22:32:49 +0000 2014;423221189427732480;"Temen gua anak Unsoed cepet bener login SIAKAD, lah UNJ ...";0;0;0;0;in;783478267;423221189427732480;YuliandreUan;https://twitter.com/YuliandreUan/status/423221189427732480
Tue Jan 14 22:31:18 +0000 2014;423220808601718785;"@BEMUNJ_OFFICIAL @BEM_JIAI @BEMFIS_UNJ pagi min.. Rektor baru ngga perlu janji lebih, cukup perbaiki siakad. Itu jauh lebih baik n berharga";0;0;3;0;in;783478267;423220808601718785;YuliandreUan;https://twitter.com/YuliandreUan/status/423220808601718785
